id,title,language
1,"就业率98%、专业对口率92%，技校招生依然难？","中文"
2,"教育部：开学两周内不宜组织高强度的体育竞赛","中文"
3,"教育部部署做好秋季开学安全准备工作","中文"
4,"教育部：坚持师德违规“零容忍”","中文"
5,"新时代健康保障体系“三明实践”蓝皮书在京首发","中文"
6,"2022年全国高考报名1193万人 再创历史新高","中文"
7,"大湖之变：来自查干湖的生态报告","中文"
8,"新课标，勾勒一代人培养蓝图","中文"
9,"天津：暑期“文博热”现象观察","中文"
10,"“量产”现场工程师，职业院校要过哪几关？","中文"
11,"“小班化”教学还远吗？","中文"
12,"宝藏中华 | “中国”，第一次被发现于这件文物的铭文之中","中文"
13,"吕雪梅：做职业教育“琢玉”者","中文"
14,"一年新建18所高中，这个城市是怎么做到的？","中文"
15,"ETF互联互通“启航” 增量资金有望加速进场","中文"
16,"这就是信心丨8组数据带你看2023年上半年经济活力","中文"
17,"资本市场迎一揽子政策措施 释放诸多信号","中文"
18,"教育部：为国选才，高考命题实现三个转变","中文"
19,"春风行动发布岗位3800万个 密集招聘促就业","中文"
20,"银保监会拟加强保险销售行为管理","中文"
21,"市场监管总局：遏制过度包装、“天价”月饼有这些实招","中文"
22,"国六b排放标准将全面实施，汽车产业或迎哪些变化？","中文"
23,"盲盒经营活动将迎合规“大考”","中文"
24,"打捞沉睡700余载的“海丝”遗珍","中文"
25,"全国碳市场开市两年 我们生活发生哪些变化？","中文"
26,"黄晓军：以开拓创新践行初心使命！","中文"
27,"海南离岛免税店上半年总销售额近324亿元","中文"
28,"亿吨级油田群在渤海投产","中文"
29,"房地产政策持续调整优化，释放出哪些信号？","中文"
30,"普尔重返勇士主场确定 复仇格林计划提前安排","中文"
31,"像野草一样生长！低成本运营足球俱乐部的成功样本","中文"
32,"中超-克雷桑绝杀完成双响 泰山2-1逆转10人深圳队","中文"
33,"莱昂纳多：中超风格接近巴甲 J联赛难度最大","中文"
34,"“金九银十”招聘季开启 稳就业再推新举措","中文"
35,"暑期“贩卖焦虑”成生意 别用孩子心理健康去“埋单”","中文"
36,"世界杯-瓦兰丘纳斯15+10 立陶宛男篮大胜埃及","中文"
37,"“深度合成”技术将规范发展","中文"
38,"CMX摩托越野大庆站落幕 中外高手奉献高水平比拼","中文"
39,"阿德巴约：我不理解负荷管理 我就不会这么干","中文"
40,"香港故宫文博馆将于7月2日向公众开放","中文"
41,"致敬！开学首日，耄耋院士站着给大学生上课","中文"
42,"CMX摩托越野大庆站落幕 中外高手奉献高水平比拼","中文"
43,"F1奥地利大奖赛维斯塔潘冠军","中文"
44,"特维斯后悔来中国？申花球迷怒斥：你就是个逃兵","中文"
45,"火箭“出厂即发射”将很快变为现实","中文"
46,"香港故宫文化博物馆有望年中对公众开放","中文"
47,"诸多高精尖产品将集中亮相第十四届中国航展","中文"
48,"我国成功发射环境减灾二号06星","中文"
49,"科学家披露高精度全月地质图诞生细节","中文"
50,"三星堆玉器：绚丽文化长河中的相同“密码”","中文"
51,"探秘地质演化与高寒文明 第二次青藏科考取得系列研究成果","中文"
52,"当代小剧场戏曲创演的三重路径","中文"
53,"青岛西海岸新区以“生态酵母”激活乡村振兴","中文"
54,"从新时代考古成就看中华民族文化自信的“密码”","中文"
55,"第十九届文博会闭幕 展出文化产品超过12万件","中文"
56,"黑鸭子组合用歌声为北京冬奥会开幕式暖场","中文"
57,"“奋进自贸港 建功新时代” | 文昌国际航天城专场新闻发布会","中文"
58,"三星堆上新：为中华文明多元一体再添新证","中文"
59,"力箭一号遥二运载火箭成功发射","中文"
60,"万物和谐共生——国家公园守护旗舰物种","中文"
61,"更蓝、更绿、更清——黑龙江生态“三变”","中文"
62,"夏至时节，高血压患者如何养生","中文"
63,"拒绝土壤退化，像养孩子一样保护黑土地","中文"
64,"广西崇左：为“石山精灵”构建绿色家园","中文"
65,"江西南昌县：4500余名党员志愿者一线战“疫”","中文"
66,"撒哈拉与塔克拉玛干的“绿色对话”","中文"
67,"一以贯之久久为功，守护“塞外明珠”乌梁素海","中文"
68,"田园乡村 美丽富民","中文"
69,"生态环境部启动2023—2024年黄河流域“清废行动”","中文"
70,"大河深流清几许——山东构建黄河下游生态廊道探访","中文"
71,"让母亲河重现生机——五问黄河禁渔","中文"
72,"让水更清鱼欢畅——长江上游珍稀鱼类保护记","中文"
73,"即将“消失”的长江渔民","中文"
74,"女子日巡好房网女子赛小滝水音夺首冠 石昱婷T11","中文"
75,"北京中小学教师资格面试即将开始，报名需注意这些要求","中文"
76,"A tiny Hawaiian bird was nearing extinction. Then the Maui fires came.","English"
77,"How a touch of Indian flavor can add spark to everyday meals","English"
78,"The Facebook settlement claim deadline is Friday. Here’s how to apply.","English"
79,"NASA spacecraft reunites with Earth after 17-year trip around the sun","English"
80,"Extreme heat and pollution can double the risk of a fatal heart attack","English"
